Unnamed: 0,year,quarter,title,studio,castcrew,link_en,dates_raw,date_us,date_jp,delay
40,1994,Q2,The Princess and the Goblin,Hemdale Film Corporation / J&M Entertainment,"József Gémes (director); Robin Lyons (screenplay); Joss Ackland, Claire Bloom, Roy Kinnear, Sally Ann Marsh, Rik Mayall, Peggy Mount",The_Princess_and_the_Goblin_(film),{{flagicon|JPN}} 1990年12月16日<br /> {{flagicon|HUN}} 1991年12月20日<br /> {{flagicon|GBR}} 1992年12月18日,,1990-12-16,
41,1994,Q2,City Slickers II: The Legend of Curly's Gold,Columbia Pictures / Castle Rock Entertainment,"Paul Weiland (director); Lowell Ganz, Babaloo Mandel, Billy Crystal (screenplay); Billy Crystal, Daniel Stern, Jon Lovitz, Jack Palance, Noble Willingham, Patricia Wettig, Pruitt Taylor Vince, Bill McKinney, David Paymer, Josh Mostel, Beth Grant, Jayne Meadows, Frank Welker",City_Slickers_II:_The_Legend_of_Curly%27s_Gold,no_ja,,,
42,1994,Q2,Speed,20th Century Fox,"Jan de Bont (director); Graham Yost (screenplay); Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton, Jeff Daniels, Alan Ruck, Carlos Carrasco, Glenn Plummer, Richard Lineback, Beth Grant, Hawthorne James, Richard Schiff, John Capodice",Speed_(1994_film),{{Flagicon|USA}} 1994年6月10日<br /> {{Flagicon|JPN}} 1994年12月3日,1994-06-10,1994-12-03,176.0
43,1994,Q2,The Lion King,Walt Disney Pictures,"Roger Allers, Rob Minkoff (director); Irene Mecchi, Jonathan Roberts, Linda Woolverton (screenplay); Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair, Whoopi Goldberg, Cheech Marin, Jim Cummings",The_Lion_King,{{flagicon|USA}} 1994年6月24日<br /> {{flagicon|JPN}} 1994年7月23日,1994-06-24,1994-07-23,29.0
44,1994,Q2,Getting Even with Dad,Metro-Goldwyn-Mayer,"Howard Deutch (director); Tom S. Parker, Jim Jennewein (screenplay); Macaulay Culkin, Ted Danson, Glenne Headly, Saul Rubinek, Gailard Sartain, Kathleen Wilhoite, Hector Elizondo, Sydney Walker, Dann Florek, Scott Beach",Getting_Even_with_Dad,{{flagicon|USA}} 1994年6月17日<br /> {{flagicon|JPN}} 1994年7月16日,1994-06-17,1994-07-16,29.0
45,1994,Q2,Wolf,Columbia Pictures,"Mike Nichols (director); Jim Harrison, Wesley Strick (screenplay); Jack Nicholson, Michelle Pfeiffer, James Spader, Kate Nelligan, Richard Jenkins, Christopher Plummer, Eileen Atkins, David Hyde Pierce, Om Puri, Ron Rifkin, Prunella Scales, Brian Markinson, Peter Gerety, Bradford English, Stewart J. Zully, Thomas F. Duffy, David Schwimmer, Allison Janney, Lia Chang",Wolf_(1994_film),{{Flagicon|USA}} 1994年6月17日<br /> {{Flagicon|JPN}} 1994年9月23日,1994-06-17,1994-09-23,98.0
46,1994,Q2,A Man in Uniform,IRS Media,"David Wellington (director/screenplay); Tom McCamus, Brigitte Bako, Kevin Tighe, Daniel MacIvor, Henry Czerny, Albert Schultz, J.D. Nicholsen, Matthew Ferguson, Michael Hogan, David Hemblen",I_Love_a_Man_in_Uniform_(film),no_ja,,,
47,1994,Q2,Wyatt Earp,Warner Bros. Pictures / Tig Productions,"Lawrence Kasdan (director/screenplay); Dan Gordon (screenplay); Kevin Costner, Dennis Quaid, Gene Hackman, JoBeth Williams, Linden Ashby, Jeff Fahey, Joanna Going, Annabeth Gish, Mark Harmon, Bill Pullman, Isabella Rossellini, Mare Winningham, Jim Caviezel, John Doe, Michael Madsen, Catherine O'Hara, Tom Sizemore, James Gammon, Karen Grassle, Rex Linn, Gabriel Folse, Mackenzie Astin, Randle Mell, Adam Baldwin, Lewis Smith, Betty Buckley, Alison Elliott, Tea Leoni, Martin Kove",Wyatt_Earp_(film),{{flagicon|USA}} 1994年6月24日<br /> {{flagicon|JPN}} 1994年7月,1994-06-24,,
48,1994,Q2,Blind Justice,HBO Pictures,"Richard Spence (director); Daniel Knauf (screenplay); Armand Assante, Elisabeth Shue, Robert Davi, Adam Baldwin, Ian McElhinney, Danny Nucci, M.C. Gainey, Titus Welliver, Jack Black, Michael O'Neill, Douglas Roberts, Gary Carlos Cervantes, Jesse Dabson, Jimmy Herman, Clayton Landey, James Oscar Lee, Daniel O'Haco, Jeff O'Haco, Jason Reins-Rodriguez, Ric San Nicholas, Forrie J. Smith, Michael A. Goorjian, Tom Hodges",Blind_Justice_(1994_film),no_ja,,,
49,1994,Q2,I Love Trouble,Touchstone Pictures / Caravan Pictures,"Charles Shyer (director); Nancy Meyers, Charles Shyer (screenplay); Julia Roberts, Nick Nolte, Saul Rubinek, James Rebhorn, Robert Loggia, Kelly Rutherford, Olympia Dukakis, Marsha Mason, Eugene Levy, Charles Martin Smith, Dan Butler, Paul Gleason, Jane Adams, Lisa Lu, Nora Dunn, Megan Cavanagh",I_Love_Trouble_(1994_film),{{flagicon|USA}} 1994年6月29日<br /> {{flagicon|JPN}} 1995年1月21日,1994-06-29,1995-01-21,206.0
50,1994,Q2,Little Big League,Columbia Pictures / Castle Rock Entertainment,"Andrew Scheinman (director); Gregory K. Pincus (screenplay); Luke Edwards, Timothy Busfield, John Ashton, Ashley Crow, Kevin Dunn, Billy L. Sullivan, Miles Feulner, Jonathan Silverman, Dennis Farina, Jason Robards, Wolfgang Bodison, Duane Davis, Leon ""Bull"" Durham, Kevin Elster, Joseph Latimore, Brad Lesley, John Minch, Michael Papajohn, Scott Patterson, Troy Startoni, Antonio Lewis Todd, John Gordon",Little_Big_League,no_ja,,,
0,1994,Q3,Baby's Day Out,20th Century Fox / Hughes Entertainment,"Patrick Read Johnson (director); John Hughes (screenplay); Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley, Adam Robert Worton, Jacob Joseph Worton, Matthew Glave, Cynthia Nixon, Fred Dalton Thompson, John Neville, Eddie Bracken, Dawn Maxey, Anna Thomson",Baby%27s_Day_Out,no_ja,,,
1,1994,Q3,Blown Away,Metro-Goldwyn-Mayer,"Stephen Hopkins (director); John Rice, Joe Batteer, Jay Roach (screenplay); Jeff Bridges, Tommy Lee Jones, Suzy Amis, Forest Whitaker, Lloyd Bridges, Stephi Lineburg, John Finn, Caitlin Clarke, Christofer de Oni, Loyd Catlett, Ruben Santiago-Hudson, Cuba Gooding Jr., Ed O'Keefe, Mike Starr",Blown_Away_(1994_film),{{Flagicon|USA}} 1994年7月1日<br /> {{Flagicon|JPN}} 1994年11月3日,1994-07-01,1994-11-03,125.0
2,1994,Q3,The Shadow,Universal Pictures,"Russell Mulcahy (director); David Koepp (screenplay); Alec Baldwin, John Lone, Penelope Ann Miller, Peter Boyle, Ian McKellen, Tim Curry, Jonathan Winters, Sab Shimono, Andre Gregory, James Hong, Joseph Maher, Max Wright, Ethan Phillips, Frank Welker, Abraham Benrubi",The_Shadow_(1994_film),{{flagicon|USA}} 1994年7月1日<br /> {{flagicon|JPN}} 1994年11月12日,1994-07-01,1994-11-12,134.0
3,1994,Q3,Forrest Gump,Paramount Pictures,"Robert Zemeckis (director); Eric Roth (screenplay); Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field",Forrest_Gump,{{flagicon|USA}} 1994年7月6日<br /> {{flagicon|JPN}} 1995年3月11日,1994-07-06,1995-03-11,248.0
4,1994,Q3,That's Entertainment! III,Metro-Goldwyn-Mayer,"Bud Friedgen, Michael J. Sheridan (directors/screenplay); June Allyson, Cyd Charisse, Lena Horne, Howard Keel, Gene Kelly, Ann Miller, Debbie Reynolds, Mickey Rooney, Esther Williams, Fred Astaire, Lucille Ball, Jack Benny, Ingrid Bergman, Ray Bolger, Lucille Bremer, Jack Buchanan, Billie Burke, Claudette Colbert, Joan Crawford, Xavier Cugat, Arlene Dahl, Marion Davies, Doris Day, Gloria DeHaven, Marlene Dietrich, Marie Dressler, Jimmy Durante, Buddy Ebsen, Nelson Eddy, Cliff Edwards, Vera-Ellen, Nanette Fabray, Greta Garbo, Ava Gardner, Judy Garland, Betty Garrett, Greer Garson, Paulette Goddard, Dolores Gray, Kathryn Grayson, Jean Harlow, Katharine Hepburn, Betty Hutton, Louis Jourdan, Buster Keaton, Grace Kelly, Hedy Lamarr, Angela Lansbury, Peter Lawford, Vivien Leigh, Oscar Levant, Carole Lombard, Myrna Loy, Jeanette MacDonald, Tony Martin, Joan McCracken, Carmen Miranda, Marilyn Monroe, Ricardo Montalban, Polly Moran, Jules Munshin, George Murphy, Donald O'Connor, Janis Paige, Eleanor Powell, Jane Powell, Elvis Presley, Luise Rainer, Ginger Rogers, Norma Shearer, Frank Sinatra, Ann Sothern, Elizabeth Taylor, Robert Taylor, Lana Turner, Nancy Walker, Esther Williams, Robert Young, Tom Cat, Jerry Mouse",That%27s_Entertainment!_III,no_ja,,,
5,1994,Q3,Pentathlon,Live Entertainment,Bruce Malmuth (director); Misha Suslov (screenplay); Dolph Lundgren,Pentathlon_(film),{{flagicon|USA}} 1994年7月8日<br /> {{flagicon|JPN}} 1995年4月29日,1994-07-08,1995-04-29,295.0
6,1994,Q3,Angels in the Outfield,Walt Disney Pictures / Caravan Pictures,"William Dear (director); Holly Goldberg Sloan (screenplay); Joseph Gordon-Levitt, Danny Glover, Tony Danza, Brenda Fricker, Ben Johnson, Jay O. Sanders, Christopher Lloyd, Milton Davis Jr., Taylor Negron, Tony Longo, Neal McDonough, Stoney Jackson, Adrien Brody, Tim Conlon, Matthew McConaughey, Israel Juarbe, Albert Garcia, Dermot Mulroney, Robert Clohessy, Danny Walcoff, O.B. Babbs, Mitchell Page, Carney Lansford, William Dear",Angels_in_the_Outfield_(1994_film),{{Flagicon|USA}} 1994年7月15日<br /> {{Flagicon|JPN}} 1995年3月18日,1994-07-15,1995-03-18,246.0
7,1994,Q3,Mi Vida Loca,Sony Pictures,"Allison Anders (director/screenplay); Angel Aviles, Seidy Lopez, Jacob Vargas, Nelida Lopez, Marlo Marron, Christina Solis, Arthur Esquer, Julian Reyes, Gabriel Gonzales, Magali Alvarado, Jesse Borrego, Bertila Damas, Danny Trejo, Salma Hayek, Los Lobos, Jason Lee, Spike Jonze",Mi_Vida_Loca,no_ja,,,
8,1994,Q3,True Lies,20th Century Fox / Universal Pictures / Lightstorm Entertainment,"James Cameron (director/screenplay); Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton, Tia Carrere, Art Malik, Eliza Dushku, Grant Heslov, Charlton Heston, Marshall Manesh, James Allen, Ofer Samra",True_Lies,no_dates,,,
